id,ad_id,session_id,user_ip,timestamp
1759,3,8d5b2319e4666141a43b9acb2709fce7,212.150.174.170,1215525801
1760,3,41685668012c68d508d8a3dc30a9d059,89.1.39.218,1215526276
1761,3,144743b920aef0880ac3eba930b630b1,151.204.226.181,1215526601
1762,3,afda41a73a06370535712eacf36a7557,87.69.13.118,1215527320
1763,3,40270f9f4d9c3ad9cb3c03af1e9aaeb4,82.81.11.204,1215527461
1764,3,1d9a4cb4aa360d9094f228a49754f356,77.125.20.12,1215527469
1765,3,d3323397ea7febcbb180972584e10a95,77.125.237.11,1215527769
1766,3,e4d879b9acb663dd38f4e6b5a0dfe3f1,199.203.13.43,1215527776
1767,3,acc9ef32b2f72e8c0260291e5a5fc28d,89.139.207.206,1215528243
1768,3,6e1c28027450ec8d96a2fa52321a875c,87.69.50.194,1215528703
1769,3,b39264e0e94bafd16748a1b16f344b8d,77.92.254.226,1215529786
1770,3,c51d096b8c974c35d89debcf2adafa9a,194.29.40.242,1215530431
1771,3,6a1898e3e4813ad3ee3a416e395a946b,201.250.183.242,1215532575
1772,3,68c11dd6ebe7a79b47305fd2329ae8f7,82.81.147.117,1215532828
1773,3,d98ee8dd68856887cdb0c9dbc277017a,79.177.102.253,1215533284
1774,3,5cc2cf9e49373eface9b44abefb048c4,79.180.115.226,1215533303
1775,3,52c72eb08dd589f9c73d84bfbdf25027,84.109.62.68,1215533434
1776,3,d916d4263106f393987cc9f86649cc5a,78.139.137.21,1215534202
1777,3,9f7c3805959b8c70328b5a50c0fe0678,80.179.208.161,1215535298
1778,3,432c9af248c7e760b93a8f510ed6fd33,77.127.207.25,1215536499
1779,3,ae392a450f375a5dd75fc8862c3ac00b,151.204.226.181,1215536570
1780,3,be7ab31b4bea8100a885bb4969a6686e,84.109.7.116,1215537954
1781,3,3316c88f0bd86256ae2e8410eb05eab1,77.125.32.104,1215538767
1782,3,be7ab31b4bea8100a885bb4969a6686e,84.109.7.116,1215539097
1783,3,d98ee8dd68856887cdb0c9dbc277017a,79.177.102.253,1215539244
1784,3,be7ab31b4bea8100a885bb4969a6686e,84.109.7.116,1215540926
1785,3,7d4fc5a26dd2fd451f34e4cb72f068d5,212.117.142.227,1215541282
1786,3,d916d4263106f393987cc9f86649cc5a,78.139.137.21,1215542690
1787,3,cbb9dec56ee1a5d44555322a244f18d7,78.139.137.21,1215543151
1788,3,71a6f16145507cd1ec4d85f8c0e1f047,89.138.198.103,1215544834
1789,3,8a1e88375893315acc277770f76dcacd,79.178.138.226,1215546305
1790,3,5c44ab8e835cfc9e4749b1eb5ee1f236,89.138.6.209,1215546455
1791,3,261dd4c4137b8e61b45a2985d06adb49,207.226.174.2,1215549197
1792,3,55e75ace1472a82c0ccd6c73adae0814,87.69.50.194,1215549544
1793,1,7cd798901865a92ce41e07de083ebe40,87.68.154.236,1215550050
1794,1,7cd798901865a92ce41e07de083ebe40,87.68.154.236,1215550088
1795,3,d98ee8dd68856887cdb0c9dbc277017a,79.177.102.253,1215550136
1796,3,25ed3ba90889004ba3fd6632ddb0152c,84.127.138.65,1215550953
1797,3,25ed3ba90889004ba3fd6632ddb0152c,84.127.138.65,1215550962
1798,3,e041d926272107389e9a0720de2d9675,89.138.151.97,1215551033
1799,3,e041d926272107389e9a0720de2d9675,89.138.151.97,1215551527
1800,3,3e87d3a1fc3bb03365807a9fa80fad8c,79.176.110.149,1215552358
1801,3,f984ff60e0cffdb0d0e3f2491d9253e6,217.194.206.247,1215552459
1802,3,55e75ace1472a82c0ccd6c73adae0814,87.69.50.194,1215552919
1803,3,aa035cf68a88275a3e18776c69ea3d72,160.39.18.153,1215553217
1804,3,376bd42cebee728540b7d6e4e98f39c7,78.139.137.21,1215553227
1805,3,55e75ace1472a82c0ccd6c73adae0814,87.69.50.194,1215553653
1806,3,f64d5d6b6d3ecbc37c57b47df147a410,217.132.158.38,1215554358
1807,3,55e75ace1472a82c0ccd6c73adae0814,87.69.50.194,1215554725
1808,3,3b02c7530af5df6d0813e79d4f864867,79.176.236.17,1215555404
1809,3,cbb9dec56ee1a5d44555322a244f18d7,78.139.137.21,1215555567
1810,1,1108e75e1bfa8dc816ed3e35ab4dbde0,74.6.17.169,1215556667
1811,3,0cd02e5412f5cc8d2cecb144ea7819e8,80.230.84.7,1215562599
1812,3,871690ca8a5effc3234acadb19857ea8,87.69.136.150,1215565908
1813,3,49a2fbc313d487f8275819c4afa6790a,79.143.176.14,1215573073
1814,3,49a2fbc313d487f8275819c4afa6790a,79.143.176.14,1215573144
1815,3,380ede76442087f1e9b9a0725656850b,209.234.171.38,1215573997
1816,3,0efe93b729559bca84a34dec4b35eb46,79.140.8.103,1215574039
1817,3,0efe93b729559bca84a34dec4b35eb46,79.140.8.103,1215574039
1818,3,0bba5d05aa1f66c878573e521f55a0ff,80.179.208.160,1215580021
1819,3,a7acb7d7434f7e76ef4edeaea5fc8db3,79.182.129.68,1215580075
1820,3,6642a6d0fb1f9c4f9624b7275e3cd86e,87.68.102.163,1215580120
1821,3,9d0727f03ae6df88a5b7069f120c6751,199.203.13.190,1215580712
1822,3,cdb909c2e7f832d4eb1161e00791a8b3,84.176.197.220,1215581519
1823,3,5713a3d4ffb0d03ef5ceefa14a098233,199.203.13.190,1215582216
1824,3,038ba7f243837ebaa5b6c7b27176b084,84.109.7.116,1215583019
1825,3,038ba7f243837ebaa5b6c7b27176b084,84.109.7.116,1215584897
1826,3,5067f21df060a3e66df16d5a9b793d96,87.69.170.74,1215585201
1827,1,141b1664f414a261cd8ef716c2968492,209.234.171.38,1215586251
1828,3,7c8ce78b58e838e563ca6c4b81b7987d,217.132.190.112,1215587109
1829,3,bf6b0f6b814488f88c7f75b19ff403a4,87.68.233.201,1215589291
1830,3,b243acee6338c238e601f9f0b122aa63,77.127.238.175,1215589352
1831,3,fe9c41c438010a4ccd64e1b735f54605,199.203.15.140,1215589497
1832,3,0dde7838bab7330d78aafe1c21bef1af,78.139.137.21,1215590261
1833,3,b347c3384fb3204abf02574cc207fb70,87.69.65.214,1215590722
1834,3,37f9f6098c6fceff05bf6de7a550f165,78.139.137.21,1215590895
1835,3,b5139994c2f270d4954ed0d8ce74dd80,85.250.215.169,1215591514
1836,3,1b01866bd91bec7a54df4c7d87806e62,79.183.121.131,1215591597
1837,3,37f9f6098c6fceff05bf6de7a550f165,78.139.137.21,1215592083
1838,3,37f9f6098c6fceff05bf6de7a550f165,78.139.137.21,1215592156
1839,3,5027d1f1b01e8b933ccda85567b273f7,217.132.40.54,1215595013
1840,3,038ba7f243837ebaa5b6c7b27176b084,84.109.7.116,1215595171
1841,3,d06641f866bb95d2491d66e27a83a140,157.181.20.159,1215595469
1842,3,1f74bba2d1ad1d53e7630f7874d02161,69.114.221.29,1215595719
1843,3,038ba7f243837ebaa5b6c7b27176b084,84.109.7.116,1215596857
1844,3,b75e9a536a509d4b370280f4739f5420,79.176.110.149,1215599184
1845,3,be1e992276b5eda7e75fc68259af5aef,84.33.1.147,1215599394
1846,1,be1e992276b5eda7e75fc68259af5aef,84.33.1.147,1215599465
1847,1,be1e992276b5eda7e75fc68259af5aef,84.33.1.147,1215599466
1848,3,55e75ace1472a82c0ccd6c73adae0814,87.69.50.194,1215599543
1849,3,18ea40c8b2253f4129aa176f8049ff2a,79.143.176.10,1215599825
1850,3,cee74f1fcc052735af4474364fb0c394,79.177.102.253,1215603501
1851,3,a8232814a1c1aeb3d5a7204682f0d0fb,192.116.207.179,1215604839
1852,3,0f7e78b5fc588266d88ae80d057828dc,78.139.137.21,1215607694
1853,3,2bb4771051722a6a383aa8b45ecb3d55,62.90.54.122,1215607716
1854,3,42c3c4b75748b73b9a97bc84f0df6c92,62.90.54.122,1215608205
1855,3,9a8268ddf7524be7d5a79a040b6c4a4d,212.25.107.145,1215608440
1856,3,b80cb213c8e32988fffb7cc9fb21072c,89.1.227.149,1215610012
1857,3,e12e25d6d1b551a6745b3371aa3b6dda,132.74.14.30,1215610056
1858,3,ae392a450f375a5dd75fc8862c3ac00b,151.204.226.181,1215610466
1859,3,59688502de99d72341f7818844fe9b8a,70.84.239.90,1215611123
1860,1,59688502de99d72341f7818844fe9b8a,70.84.239.90,1215611201
1861,1,59688502de99d72341f7818844fe9b8a,70.84.239.90,1215611203
1862,3,5705af28ee6c6a1ebb8e1d31f766a7db,194.29.40.242,1215611369
1863,3,5705af28ee6c6a1ebb8e1d31f766a7db,194.29.40.242,1215611440
1864,3,888406bb8065a3f464f3feb3c84f8bfe,62.117.80.2,1215611489
1865,3,888406bb8065a3f464f3feb3c84f8bfe,62.117.80.2,1215611493
1866,3,29ad0c59fd135c308d8ffd011b5ab5c1,84.109.7.116,1215611965
1867,3,7714e71397acbe60b129c8d170b0b819,84.108.45.154,1215612487
1868,3,e9427de8878fd2412675da3b47591c79,93.80.191.190,1215613070
1869,3,e9427de8878fd2412675da3b47591c79,93.80.191.190,1215613067
